Customer ID,Recency,Frequency,Monetary,Cluster,CustomerSegment
12346.0,165,33,372.86,1,Medium Value
12347.0,3,71,1323.32,0,High Value
12348.0,74,20,222.16,0,Low Value
12349.0,43,102,2671.14,0,High Value
12351.0,11,21,300.93,0,Medium Value
12352.0,11,18,343.8,0,Medium Value
12353.0,44,20,317.76,0,Medium Value
12355.0,203,22,488.21000000000004,1,Medium Value
12356.0,16,83,3560.3,0,High Value
12357.0,24,165,12079.99,0,High Value
12358.0,11,58,2719.01,0,High Value
12359.0,61,117,2563.36,0,High Value
12360.0,15,88,1590.83,0,High Value
12361.0,98,19,321.35,0,Medium Value
12362.0,374,1,130.0,1,Low Value
12366.0,269,3,500.24,1,Medium Value
12368.0,264,18,917.6999999999999,1,Medium Value
12369.0,49,93,1791.15,0,High Value
12370.0,260,35,774.62,1,Medium Value
12371.0,45,104,2179.42,0,High Value
12373.0,260,37,763.0500000000001,1,Medium Value
12374.0,57,50,2246.29,0,High Value
12376.0,25,13,503.15,0,Medium Value
12377.0,17,75,1798.2,0,High Value
12378.0,198,82,1407.7,1,High Value
12379.0,58,41,767.98,0,Medium Value
12380.0,101,173,6951.49,0,High Value
12385.0,15,65,1938.4,0,High Value
12386.0,2,8,258.9,0,Low Value
12387.0,51,9,143.94,0,Low Value
12388.0,81,46,1120.45,0,High Value
12389.0,38,49,1433.33,0,High Value
12391.0,100,174,2285.18,0,High Value
12392.0,227,7,234.75000000000003,1,Low Value
12393.0,18,43,816.85,0,Medium Value
12395.0,7,98,2048.64,0,High Value
12396.0,310,65,931.43,1,Medium Value
12399.0,21,51,853.65,0,Medium Value
12400.0,50,11,205.25,0,Low Value
12402.0,28,59,1031.3,0,High Value
12403.0,157,4,591.6600000000001,1,Medium Value
12404.0,318,1,63.24,1,Low Value
12406.0,35,61,2975.06,0,High Value
12408.0,21,54,1452.22,0,High Value
12409.0,56,155,12346.619999999999,0,High Value
12410.0,138,14,320.38,0,Medium Value
12411.0,45,22,346.9,0,Medium Value
12412.0,38,66,1370.05,0,High Value
12413.0,38,13,241.35,0,Low Value
12414.0,99,10,390.0,0,Medium Value
12415.0,11,212,19543.84,0,High Value
12416.0,292,11,202.56,1,Low Value
12417.0,46,177,3148.31,0,High Value
12418.0,49,68,1352.62,0,High Value
12419.0,21,25,503.01,0,Medium Value
12421.0,51,20,291.56,0,Low Value
12422.0,30,133,4428.24,0,High Value
12423.0,23,40,763.08,0,Medium Value
12424.0,58,62,1579.07,0,High Value
12425.0,84,55,964.21,0,Medium Value
12426.0,298,47,762.48,1,Medium Value
12427.0,7,10,303.5,0,Medium Value
12429.0,1,76,3735.51,0,High Value
12431.0,9,170,4370.52,0,High Value
12433.0,2,286,7205.39,0,High Value
12434.0,17,20,297.29,0,Low Value
12435.0,32,76,6096.04,0,High Value
12437.0,31,364,7731.99,0,High Value
12439.0,318,71,1142.88,1,High Value
12440.0,98,32,859.2,0,Medium Value
12441.0,2,11,173.55,0,Low Value
12443.0,368,21,485.31,1,Medium Value
12445.0,56,20,301.58000000000004,0,Medium Value
12449.0,46,10,768.6,0,Medium Value
12450.0,35,29,490.32,0,Medium Value
12451.0,99,157,3634.36,0,High Value
12454.0,31,25,13151.44,0,High Value
12455.0,81,137,3413.09,0,High Value
12457.0,71,22,632.68,0,Medium Value
12458.0,63,46,830.09,0,Medium Value
12459.0,241,23,454.36,1,Medium Value
12460.0,92,18,326.65,0,Medium Value
12466.0,318,1,56.73,1,Low Value
12467.0,59,9,132.8,0,Low Value
12468.0,162,112,2941.2,1,High Value
12469.0,158,76,3070.54,1,High Value
12470.0,325,23,211.95,1,Low Value
12471.0,10,676,20129.54,0,High Value
12472.0,5,572,11308.48,0,High Value
12474.0,14,286,5048.66,0,High Value
12475.0,45,25,426.26,0,Medium Value
12476.0,32,281,7267.49,0,High Value
12477.0,35,264,7056.63,0,High Value
12480.0,35,88,2183.2200000000003,0,High Value
12481.0,1,174,6765.07,0,High Value
12482.0,212,204,23691.4,1,High Value
12483.0,14,63,2612.2000000000003,0,High Value
12484.0,119,128,1826.78,0,High Value
12485.0,165,34,708.1,1,Medium Value
12486.0,67,49,1037.28,0,High Value
12487.0,366,2,285.29999999999995,1,Low Value
12490.0,14,217,4405.71,0,High Value
12492.0,39,22,452.0,0,Medium Value
12494.0,1,34,626.77,0,Medium Value
12495.0,276,17,357.4,1,Medium Value
12496.0,256,10,45.34,1,Low Value
12497.0,36,43,5205.400000000001,0,High Value
12499.0,196,27,393.72,1,Medium Value
12500.0,71,85,1697.39,0,High Value
12503.0,220,2,1126.0,1,Medium Value
12504.0,53,11,297.0,0,Low Value
12505.0,44,42,955.2,0,Medium Value
12507.0,220,28,539.25,1,Medium Value
12510.0,95,112,4195.45,0,High Value
12511.0,64,190,3084.02,0,High Value
12514.0,277,33,580.08,1,Medium Value
12516.0,66,48,1336.56,0,High Value
12519.0,112,22,385.7,0,Medium Value
12523.0,10,143,2562.58,0,High Value
12524.0,24,96,6640.39,0,High Value
12525.0,134,60,973.73,0,Medium Value
12527.0,130,14,386.8,0,Medium Value
12529.0,164,21,316.48,1,Medium Value
12530.0,51,92,2096.98,0,High Value
12531.0,322,110,1807.98,1,High Value
12533.0,263,72,1367.89,1,High Value
12537.0,44,43,732.94,0,Medium Value
12538.0,14,13,276.5,0,Low Value
12539.0,86,231,5646.400000000001,0,High Value
12540.0,14,293,8854.25,0,High Value
12542.0,120,39,481.88,0,Medium Value
12543.0,84,43,980.25,0,Medium Value
12547.0,136,13,175.78,0,Low Value
12549.0,211,49,1575.68,1,High Value
12553.0,21,47,916.47,0,Medium Value
12554.0,84,26,468.5,0,Medium Value
12555.0,318,1,129.23,1,Low Value
12557.0,7,25,6725.18,0,High Value
12562.0,21,39,1185.18,0,High Value
12563.0,44,13,249.24,0,Low Value
12567.0,3,193,4308.58,0,High Value
12568.0,280,5,70.0,1,Low Value
12570.0,318,1,77.52,1,Low Value
12573.0,17,91,556.87,0,Medium Value
12575.0,93,38,622.8199999999999,0,Medium Value
12576.0,28,54,826.89,0,Medium Value
12577.0,17,152,990.5,0,Medium Value
12578.0,21,58,1847.94,0,High Value
12580.0,212,34,637.2,1,Medium Value
12582.0,58,81,1469.04,0,High Value
12583.0,9,219,7166.0599999999995,0,High Value
12586.0,10,83,1865.73,0,High Value
12588.0,35,36,743.88,0,Medium Value
12589.0,57,145,4048.98,0,High Value
12591.0,26,42,886.1,0,Medium Value
12592.0,155,63,2145.06,1,High Value
12594.0,14,81,1751.89,0,High Value
12595.0,140,19,299.02,0,Low Value
12598.0,99,74,1511.01,0,High Value
12599.0,17,71,1264.14,0,High Value
12600.0,7,68,2444.88,0,High Value
12601.0,40,6,104.19999999999999,0,Low Value
12605.0,12,76,1232.95,0,High Value
12606.0,318,1,21.0,1,Low Value
12608.0,40,16,415.79,0,Medium Value
12609.0,10,115,2309.01,0,High Value
12613.0,24,173,3472.9900000000002,0,High Value
12615.0,49,165,3449.79,0,High Value
12616.0,24,22,417.8,0,Medium Value
12619.0,196,10,140.14,1,Low Value
12621.0,1,303,11086.14,0,High Value
12623.0,52,155,3442.7400000000002,0,High Value
12625.0,145,97,2481.06,0,High Value
12629.0,21,45,1558.22,0,High Value
12631.0,92,152,2841.07,0,High Value
12632.0,156,35,804.88,1,Medium Value
12633.0,18,205,3514.18,0,High Value
12634.0,171,20,490.0,1,Medium Value
12635.0,28,78,1241.23,0,High Value
12636.0,374,1,141.0,1,Low Value
12637.0,14,232,2280.91,0,High Value
12638.0,275,9,249.8,1,Low Value
12639.0,70,42,826.27,0,Medium Value
12643.0,21,27,4960.18,0,High Value
12644.0,66,80,1440.58,0,High Value
12645.0,45,87,1764.12,0,High Value
12647.0,3,429,14201.53,0,High Value
12648.0,73,44,793.95,0,Medium Value
12649.0,18,87,1671.1399999999999,0,High Value
12651.0,14,21,263.75,0,Low Value
12652.0,70,3,97.05000000000001,0,Low Value
12653.0,162,43,1950.98,1,High Value
12655.0,59,16,261.35,0,Low Value
